job_id,backend,fisher_rao_residual_squared,bures_wasserstein_residual_squared,quadrature_resolution_floor,independent_design_residual_squared
L_logistic_d50_lam1_fc1e2,fixed_qmc_foc_newton,9.756899057942336e-28,3.1631558308379196e-27,0.005547525331337511,5.2831477209601235e-06
L_logistic_d50_lam1_fc1e4,fixed_qmc_foc_newton,2.122760221975971e-27,6.49572842734992e-27,0.0022824965496965888,6.95398286742619e-07
L_logistic_smoke,fixed_qmc_foc_newton,1.0788125089480163e-29,8.845993709702565e-29,2.7967207747892076e-05,8.51051083797138e-06
M_affine_metric_d10_h0.005,exact,0.0,0.0,,
M_affine_metric_d10_h0.01,exact,0.0,0.0,,
M_affine_metric_d10_h0.02,exact,0.0,0.0,,
M_affine_metric_d10_h0.04,exact,0.0,0.0,,
M_affine_metric_d2_h0.005,exact,0.0,0.0,,
M_affine_metric_d2_h0.01,exact,0.0,0.0,,
M_affine_metric_d2_h0.02,exact,0.0,0.0,,
M_affine_metric_d2_h0.04,exact,0.0,0.0,,
M_affine_metric_d5,exact,0.0,0.0,,
M_affine_metric_d5_h0.005,exact,0.0,0.0,,
M_affine_metric_d5_h0.01,exact,0.0,0.0,,
M_affine_metric_d5_h0.02,exact,0.0,0.0,,
M_affine_metric_d5_h0.04,exact,0.0,0.0,,
