tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,43,0.04,1.031502877417894,0.008694967633094297,nan,0.034349257090275705,0.027114201241885585,0.19832815366827722,0.7481302059626717,2.8114301575967238,0.8281244053857457,0.9808150964584453,0.012189333186284746,0.01069226436141019,0.06391329801408574,,nan,nan,nan,nan,nan,nan,nan,43,345,345,345,0,0,43,43,131,131,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,44,0.04,1.0306321703436931,0.007824260558893403,nan,0.031221470801716736,0.025230398112529993,0.18894721760881708,0.7489750083965683,2.832504724466316,0.8343320513806093,0.9819226509644482,0.010972598004597994,0.00945427786838348,0.06538535800063983,,nan,nan,nan,nan,nan,nan,nan,44,353,353,353,0,0,44,44,134,134,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,45,0.04,1.0314944769996524,0.008686567214852614,nan,0.03503232290364862,0.024646555836131536,0.1990036192672279,0.748479288479133,2.7917954811702494,0.8223408881617168,0.981272751288215,0.012044856002794216,0.010284509102651534,0.06685414799721912,,nan,nan,nan,nan,nan,nan,nan,45,361,361,361,0,0,45,45,137,137,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,46,0.04,1.0299814989159837,0.007173589131183933,nan,0.028460978666537236,0.019853627900129987,0.1823856697875701,0.7492186055698327,2.8494083109771324,0.8393111089219578,0.9822420121974105,0.01006743274601183,0.008656662774346482,0.06832449801731855,,nan,nan,nan,nan,nan,nan,nan,46,369,369,369,0,0,46,46,140,140,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,47,0.04,1.0291064782623165,0.006298568477516753,nan,0.024662861054887325,0.017225479506110582,0.17170098093774172,0.7500620846667796,2.8866338861472984,0.850276135821039,0.9833478317796683,0.00891277488920994,0.007710869844395037,0.06977543700486422,,nan,nan,nan,nan,nan,nan,nan,47,377,377,377,0,0,47,47,143,143,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,48,0.04,1.028621024745862,0.005813114961062293,nan,0.02290869098957498,0.017942733264929085,0.16504763468455505,0.7526949789331333,2.9069369546550456,0.8562565321293211,0.9867996138668466,0.008245306046599723,0.00703456387092115,0.07122669700765982,,nan,nan,nan,nan,nan,nan,nan,48,385,385,385,0,0,48,48,146,146,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,49,0.04,1.0287302277176569,0.005922317932857135,nan,0.023834176470576795,0.023252811552258484,0.16532442743921297,0.7533352980805735,2.90276146274282,0.8550266147694099,0.987639086302735,0.008392555107907707,0.007024364439900603,0.07267909700749442,,nan,nan,nan,nan,nan,nan,nan,49,393,393,393,0,0,49,49,149,149,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,50,0.04,1.0285087490635072,0.005700839278707459,nan,0.022943172949705302,0.017193702221417147,0.16378390248816402,0.7536362198045489,2.897893872632449,0.853592835539675,0.9880336012780355,0.008028248426359482,0.006643693632671339,0.07415616698563099,,nan,nan,nan,nan,nan,nan,nan,50,401,401,401,0,0,50,50,152,152,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,51,0.04,1.0278236795920044,0.00501576980720464,nan,0.020001687092244928,0.016150742134032718,0.15404554589875624,0.7537349632352994,2.933164313672611,0.8639819654048276,0.9881630560798668,0.007122044832324155,0.005934361126943225,0.07560403703246266,,nan,nan,nan,nan,nan,nan,nan,51,409,409,409,0,0,51,51,155,155,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,52,0.04,1.0274535987597404,0.004645688974940665,nan,0.018412981377432216,0.014044302318534086,0.14872406564259916,0.7512691422995411,2.947084266463646,0.8680821749003134,0.984930310790771,0.006620564046672232,0.0055504990382318365,0.07707611698424444,,nan,nan,nan,nan,nan,nan,nan,52,417,417,417,0,0,52,52,158,158,0,8,True,False,0.04
