job_id,omega,tau,dimension,step_size,predicted_traceless_rate,fitted_traceless_rate,predicted_trace_rate,fitted_trace_rate
M_affine_metric_d5_h0.005,2.0,1.6,5,0.005,0.25,0.2501678022828807,0.05,0.0500136122017201
M_affine_metric_d5_h0.01,0.25,-0.025,5,0.01,2.0,2.020275197011204,4.0,4.082315797457785
M_affine_metric_d5_h0.01,0.25,0.0,5,0.01,2.0,2.020283618392075,2.0,2.020285894876136
M_affine_metric_d5_h0.01,0.25,0.05,5,0.01,2.0,2.020299230491004,1.0,1.0050475427362326
M_affine_metric_d5_h0.01,0.25,0.2,5,0.01,2.0,2.020324543154429,0.4,0.4008140800782801
M_affine_metric_d5_h0.01,0.5,-0.05,5,0.01,1.0,1.0050418250337751,2.0,2.020324566260113
M_affine_metric_d5_h0.01,0.5,0.0,5,0.01,1.0,1.0050508612825877,1.0,1.005053931454079
M_affine_metric_d5_h0.01,0.5,0.1,5,0.01,1.0,1.0050603559211098,0.5,0.5012699750925595
M_affine_metric_d5_h0.01,0.5,0.4,5,0.01,1.0,1.0050688269926085,0.2,0.2002110643491653
M_affine_metric_d5_h0.01,1.0,-0.1,5,0.01,0.5,0.501266402459349,1.0,1.0050663882845765
M_affine_metric_d5_h0.01,1.0,0.0,5,0.01,0.5,0.501271003986622,0.5,0.5012739919262675
M_affine_metric_d5_h0.01,1.0,0.2,5,0.01,0.5,0.5012731335939163,0.25,0.2503272754709938
M_affine_metric_d5_h0.01,1.0,0.8,5,0.01,0.5,0.5012737942632886,0.1,0.1000595118533959
M_affine_metric_d5_h0.01,2.0,-0.2,5,0.01,0.25,0.2503256528912262,0.5,0.5012753217838967
M_affine_metric_d5_h0.01,2.0,0.0,5,0.01,0.25,0.2503254160832509,0.25,0.2503276171967901
M_affine_metric_d5_h0.01,2.0,0.4,5,0.01,0.25,0.2503243174256144,0.125,0.1250886575357113
M_affine_metric_d5_h0.01,2.0,1.6,5,0.01,0.25,0.2503231237043794,0.05,0.0500198736182122
M_affine_metric_d5_h0.02,0.25,-0.025,5,0.02,2.0,2.041108659895497,4.0,4.1692078907913865
M_affine_metric_d5_h0.02,0.25,0.0,5,0.02,2.0,2.0411172159843627,2.0,2.041115123830582
M_affine_metric_d5_h0.02,0.25,0.05,5,0.02,2.0,2.041133167166925,1.0,1.0101494514534368
M_affine_metric_d5_h0.02,0.25,0.2,5,0.02,2.0,2.041159067349025,0.4,0.4016205981137779
M_affine_metric_d5_h0.02,0.5,-0.05,5,0.02,1.0,1.0101495587117666,2.0,2.041155279277288
M_affine_metric_d5_h0.02,0.5,0.0,5,0.02,1.0,1.0101586987061868,1.0,1.0101558969854951
M_affine_metric_d5_h0.02,0.5,0.1,5,0.02,1.0,1.0101683051340626,0.5,0.5025326802262402
M_affine_metric_d5_h0.02,0.5,0.4,5,0.02,1.0,1.010176870237128,0.2,0.2004119132621667
M_affine_metric_d5_h0.02,1.0,-0.1,5,0.02,0.5,0.5025348065963009,1.0,1.0101685417022814
M_affine_metric_d5_h0.02,1.0,0.0,5,0.02,0.5,0.5025394344515203,0.5,0.5025367146397258
M_affine_metric_d5_h0.02,1.0,0.2,5,0.02,0.5,0.5025415689221412,0.25,0.250641400523155
M_affine_metric_d5_h0.02,1.0,0.8,5,0.02,0.5,0.5025422274584282,0.1,0.1001096430318038
M_affine_metric_d5_h0.02,2.0,-0.2,5,0.02,0.25,0.2506439817241637,0.5,0.5025380444262935
M_affine_metric_d5_h0.02,2.0,0.0,5,0.02,0.25,0.2506437329341908,0.25,0.2506417341004641
M_affine_metric_d5_h0.02,2.0,0.4,5,0.02,0.25,0.2506426244757909,0.125,0.1251670034688168
